Time, consumer_reader_ch1, consumer_reader_ch2, producer_writer_ch1, producer_writer_ch2
5.9129, 37, 98, 37, 98
5.9472, 37, 98, 24, 98
5.9593, 37, 98, 24, 98
5.9954, 37, 98, 24, 15
6.0266, 24, 98, 24, 15
6.0622, 24, 98, 24, 15
6.0738, 24, 15, 24, 15
6.1450, 24, 15, 24, 15
6.1861, 24, 15, 24, 15
6.2204, 24, 15, 70, 15
6.2246, 24, 15, 70, 15
6.2778, 24, 15, 70, 13
6.2999, 70, 15, 70, 13
6.3366, 70, 15, 70, 13
6.3418, 70, 13, 70, 13
6.4115, 70, 13, 70, 13
6.4165, 70, 13, 70, 13
6.5141, 70, 13, 26, 13
6.5247, 70, 13, 26, 13
6.5576, 26, 13, 26, 13
6.5607, 26, 13, 26, 91
6.6143, 26, 13, 26, 91
6.6234, 26, 91, 26, 91
6.6963, 26, 91, 26, 91
6.7195, 26, 91, 26, 91
6.8639, 26, 91, 80, 91
6.8690, 26, 91, 80, 91
6.8865, 80, 91, 80, 91
6.8934, 80, 91, 80, 56
6.9051, 80, 91, 80, 56
6.9149, 80, 56, 80, 56
6.9857, 80, 56, 80, 56
7.0009, 80, 56, 80, 56
7.0937, 80, 56, 73, 56
7.1031, 80, 56, 73, 56
7.1300, 73, 56, 73, 56
7.1400, 73, 56, 73, 62
7.1767, 73, 56, 73, 62
7.1860, 73, 62, 73, 62
7.2588, 73, 62, 73, 62
7.2724, 73, 62, 73, 62
7.4042, 73, 62, 70, 62
7.4154, 73, 62, 70, 62
7.4374, 73, 62, 70, 96
7.4584, 70, 62, 70, 96
7.5098, 70, 62, 70, 96
7.5189, 70, 96, 70, 96
7.5916, 70, 96, 70, 96
7.6048, 70, 96, 70, 96
7.7004, 70, 96, 81, 96
7.7141, 70, 96, 81, 96
7.7643, 81, 96, 81, 96
7.7658, 81, 96, 81, 5
7.8151, 81, 96, 81, 5
7.8267, 81, 5, 81, 5
7.8971, 81, 5, 81, 5
7.9074, 81, 5, 81, 5
7.9992, 81, 5, 25, 5
8.0102, 81, 5, 25, 5
8.0379, 25, 5, 25, 5
8.0465, 25, 5, 25, 84
8.0810, 25, 5, 25, 84
8.0930, 25, 84, 25, 84
8.1586, 25, 84, 25, 84
8.1669, 25, 84, 25, 84
8.2839, 25, 84, 27, 84
8.2890, 25, 84, 27, 84
8.3010, 27, 84, 27, 84
8.3076, 27, 84, 27, 84
8.3252, 27, 84, 27, 36
8.3500, 27, 84, 27, 36
8.3674, 27, 36, 27, 36
8.4841, 27, 36, 5, 36
8.4923, 27, 36, 5, 36
8.4961, 5, 36, 5, 36
8.5274, 5, 36, 5, 36
8.5483, 5, 36, 5, 36
8.5875, 5, 36, 5, 46
8.5972, 5, 36, 5, 46
8.6249, 5, 46, 5, 46
8.6897, 5, 46, 29, 46
8.7047, 5, 46, 29, 46
8.7165, 29, 46, 29, 46
8.7522, 29, 46, 29, 46
8.7842, 29, 46, 29, 46
8.8225, 29, 46, 29, 13
8.8343, 29, 46, 29, 13
8.8759, 29, 13, 29, 13
8.9331, 29, 13, 57, 13
8.9638, 29, 13, 57, 13
8.9773, 57, 13, 57, 13
9.0226, 57, 13, 57, 13
9.0256, 57, 13, 57, 13
9.0511, 57, 13, 57, 24
9.0589, 57, 13, 57, 24
9.0871, 57, 24, 57, 24
9.1536, 57, 24, 95, 24
9.1743, 57, 24, 95, 24
9.1848, 95, 24, 95, 24
9.2222, 95, 24, 95, 24
9.2542, 95, 24, 95, 24
9.2812, 95, 24, 95, 82
9.2925, 95, 24, 95, 82
9.3284, 95, 82, 95, 82
9.3742, 95, 82, 45, 82
9.4160, 95, 82, 45, 82
9.4262, 45, 82, 45, 82
9.4715, 45, 82, 45, 82
9.4746, 45, 82, 45, 82
9.4997, 45, 82, 45, 14
9.5076, 45, 82, 45, 14
9.5356, 45, 14, 45, 14
9.6019, 45, 14, 67, 14
9.6324, 45, 14, 67, 14
9.6457, 67, 14, 67, 14
9.6882, 67, 14, 67, 14
9.7442, 67, 14, 67, 14
9.7852, 67, 14, 67, 34
9.7970, 67, 14, 67, 34
9.8413, 67, 34, 67, 34
9.9082, 67, 34, 64, 34
9.9391, 67, 34, 64, 34
9.9536, 64, 34, 64, 34
10.0013, 64, 34, 64, 34
10.0044, 64, 34, 64, 34
10.0311, 64, 34, 64, 43
10.0393, 64, 34, 64, 43
10.0687, 64, 43, 64, 43
10.1354, 64, 43, 50, 43
10.1540, 64, 43, 50, 43
10.1644, 50, 43, 50, 43
10.2028, 50, 43, 50, 43
10.2368, 50, 43, 50, 43
10.2643, 50, 43, 50, 87
10.2749, 50, 43, 50, 87
10.3076, 50, 87, 50, 87
10.3548, 50, 87, 8, 87
10.3946, 50, 87, 8, 87
10.4060, 8, 87, 8, 87
10.4523, 8, 87, 8, 87
10.4552, 8, 87, 8, 87
10.4817, 8, 87, 8, 76
10.4900, 8, 87, 8, 76
10.5191, 8, 76, 8, 76
10.5870, 8, 76, 78, 76
10.6028, 8, 76, 78, 76
10.6132, 78, 76, 78, 76
10.6523, 78, 76, 78, 76
10.6937, 78, 76, 78, 76
10.7317, 78, 76, 78, 88
10.7443, 78, 76, 78, 88
10.7918, 78, 88, 78, 88
10.8406, 78, 88, 84, 88
10.9225, 78, 88, 84, 88
10.9333, 84, 88, 84, 88
10.9586, 84, 88, 84, 88
10.9931, 84, 88, 84, 3
11.0167, 84, 88, 84, 3
11.0277, 84, 3, 84, 3
11.0919, 84, 3, 84, 3
11.1839, 84, 3, 84, 3
11.2181, 84, 3, 51, 3
11.2271, 84, 3, 51, 3
11.2625, 84, 3, 51, 54
11.2938, 51, 3, 51, 54
11.3287, 51, 3, 51, 54
11.3404, 51, 54, 51, 54
11.4105, 51, 54, 51, 54
11.4611, 51, 54, 51, 54
11.5030, 51, 54, 99, 54
11.5121, 51, 54, 99, 54
11.5469, 51, 54, 99, 32
11.5787, 99, 54, 99, 32
11.6131, 99, 54, 99, 32
11.6244, 99, 32, 99, 32
11.7119, 99, 32, 99, 32
11.7641, 99, 32, 99, 32
11.8073, 99, 32, 60, 32
11.8164, 99, 32, 60, 32
11.8512, 99, 32, 60, 76
11.8919, 60, 32, 60, 76
11.9275, 60, 32, 60, 76
11.9393, 60, 76, 60, 76
12.0128, 60, 76, 60, 76
12.0658, 60, 76, 60, 76
12.1093, 60, 76, 68, 76
12.1187, 60, 76, 68, 76
12.1552, 60, 76, 68, 39
12.1879, 68, 76, 68, 39
12.2559, 68, 76, 68, 39
12.2687, 68, 39, 68, 39
12.3532, 68, 39, 68, 39
12.3801, 68, 39, 68, 39
12.5213, 68, 39, 12, 39
12.5320, 68, 39, 12, 39
12.5604, 12, 39, 12, 39
12.6041, 12, 39, 12, 26
12.6582, 12, 39, 12, 26
12.6688, 12, 26, 12, 26
12.7323, 12, 26, 12, 26
12.7495, 12, 26, 12, 26
12.8432, 12, 26, 86, 26
12.8546, 12, 26, 86, 26
12.8990, 12, 26, 86, 94
12.8993, 86, 26, 86, 94
12.9499, 86, 26, 86, 94
12.9603, 86, 94, 86, 94
13.0201, 86, 94, 86, 94
13.0387, 86, 94, 86, 94
13.1257, 86, 94, 39, 94
13.1367, 86, 94, 39, 94
13.1710, 39, 94, 39, 94
13.1727, 39, 94, 39, 95
13.2230, 39, 94, 39, 95
13.2332, 39, 95, 39, 95
13.2929, 39, 95, 39, 95
13.3113, 39, 95, 39, 95
13.3994, 39, 95, 70, 95
13.4104, 39, 95, 70, 95
13.4453, 39, 95, 70, 34
13.4446, 70, 95, 70, 34
13.4963, 70, 95, 70, 34
13.5067, 70, 34, 70, 34
13.5661, 70, 34, 70, 34
13.5846, 70, 34, 70, 34
13.6696, 70, 34, 78, 34
13.6808, 70, 34, 78, 34
13.7151, 78, 34, 78, 34
13.7161, 78, 34, 78, 67
13.7674, 78, 34, 78, 67
13.7776, 78, 67, 78, 67
13.8368, 78, 67, 78, 67
13.8556, 78, 67, 78, 67
13.9540, 78, 67, 1, 67
13.9654, 78, 67, 1, 67
14.0022, 78, 67, 1, 97
14.0054, 1, 67, 1, 97
14.0567, 1, 67, 1, 97
