Time, r_SP, r_MV, w_output, r_u, w_y, w_output
2.1053, 0.0000, 0.9623, -0.9623, -0.9751, 0.9623, 0.0000
2.1089, 0.0000, 0.9623, -0.9623, -0.9623, 0.9623, 0.0000
2.1127, 0.0000, 0.9623, -0.9623, -0.9623, 0.9623, 0.0000
2.1186, 0.0000, 0.9623, -0.9623, -0.9623, 0.9623, 0.0000
2.1388, 0.0000, 0.9623, -0.9623, -0.9623, 0.9623, 0.0000
2.1553, 0.0000, 0.9623, -0.9623, -0.9623, 0.9623, 0.0000
2.1851, 0.0000, 0.9623, -0.9623, -0.9623, 0.9623, 0.0000
2.2919, 0.0000, 0.9623, -0.9623, -0.9623, 0.9623, 0.0000
2.3532, 0.0000, 0.9623, -0.9623, -0.9623, 0.9623, 0.0000
2.3778, 0.0000, 0.9623, -0.9623, -0.9623, 0.9623, 0.0000
2.4415, 0.0000, 0.9623, -0.9623, -0.9623, 0.9372, 0.0000
2.4530, 0.0000, 0.9623, -0.9623, -0.9623, 0.9372, 0.0000
2.4599, 0.0000, 0.9623, -0.9623, -0.9623, 0.9372, 0.0000
2.4653, 0.0000, 0.9623, -0.9623, -0.9623, 0.9372, 0.0000
2.4856, 0.0000, 0.9623, -0.9623, -0.9623, 0.9372, 0.0000
2.5546, 0.0000, 0.9372, -0.9623, -0.9623, 0.9372, 0.0000
2.5839, 0.0000, 0.9372, -0.9623, -0.9623, 0.9372, 0.0000
2.5956, 0.0000, 0.9372, -0.9623, -0.9623, 0.9372, 0.0000
2.6228, 0.0000, 0.9372, -0.9623, -0.9623, 0.9372, 0.0000
2.7173, 0.0000, 0.9372, -0.9623, -0.9623, 0.9372, 0.0000
2.7400, 0.0000, 0.9372, -0.9623, -0.9623, 0.9372, 0.0000
2.7415, 0.0000, 0.9372, -0.9623, -0.9623, 0.9372, 0.0000
2.7523, 0.0000, 0.9372, -0.9623, -0.9623, 0.9372, 0.0000
2.7557, 0.0000, 0.9372, -0.9623, -0.9623, 0.9372, 0.0000
2.7728, 0.0000, 0.9372, -0.9623, -0.9623, 0.9372, 0.0000
2.7765, 0.0000, 0.9372, -0.9623, -0.9623, 0.9372, 0.0000
2.7808, 0.0000, 0.9372, -0.9623, -0.9623, 0.9372, 0.0000
2.7936, 0.0000, 0.9372, -0.9372, -0.9623, 0.9372, 0.0000
2.8661, 0.0000, 0.9372, -0.9372, -0.9623, 0.9372, 0.0000
2.8775, 0.0000, 0.9372, -0.9372, -0.9623, 0.9372, 0.0000
2.9062, 0.0000, 0.9372, -0.9372, -0.9623, 0.9372, 0.0000
3.0136, 0.0000, 0.9372, -0.9372, -0.9623, 0.9372, 0.0000
3.0215, 0.0000, 0.9372, -0.9372, -0.9623, 0.9372, 0.0000
3.0472, 0.0000, 0.9372, -0.9372, -0.9623, 0.9372, 0.0000
3.0569, 0.0000, 0.9372, -0.9372, -0.9372, 0.9372, 0.0000
3.0585, 0.0000, 0.9372, -0.9372, -0.9372, 0.9123, 0.0000
3.0965, 0.0000, 0.9372, -0.9372, -0.9372, 0.9123, 0.0000
3.1038, 0.0000, 0.9372, -0.9372, -0.9372, 0.9123, 0.0000
3.1097, 0.0000, 0.9123, -0.9372, -0.9372, 0.9123, 0.0000
