Time, consumer_reader_ch1, consumer_reader_ch2, producer_writer_ch1, producer_writer_ch2
17.9306, 37081, -1334181888, 37081, -1334181888
18.7508, 37081, -1334181888, 37081, -1334181888
18.7814, 37081, -1334181888, 37081, -1334181888
18.7925, 37081, -1334181888, 37081, -1334181888
18.8289, 37081, -1334181888, 37081, -1334181888
18.8400, 37081, -1334181888, 37081, -1334181888
18.8705, 37081, -1334181888, 37081, -1334181888
18.8823, 37081, -1334181888, 37081, -1334181888
18.9109, 37081, -1334181888, 37081, -1334181888
19.7212, 37081, -1334181888, 37081, -1334181888
19.7500, 37081, -1334181888, 37081, -1334181888
19.7633, 37081, -1334181888, 37081, -1334181888
19.8041, 37081, -1334181888, 37081, -1334181888
19.8107, 37081, -1334181888, 37081, -1334181888
19.8420, 37081, -1334181888, 37081, -1334181888
19.8528, 37081, -1334181888, 37081, -1334181888
19.8864, 37081, -1334181888, 37081, -1334181888
20.7321, 37081, -1334181888, 37081, -1334181888
21.0799, 37081, -1334181888, 37081, -1334181888
21.0908, 37081, -1334181888, 37081, -1334181888
21.1282, 37081, -1334181888, 37081, -1334181888
21.1623, 37081, -1334181888, 37081, -1334181888
21.2572, 37081, -1334181888, 37081, -1334181888
21.2680, 37081, -1334181888, 37081, -1334181888
21.2957, 37081, -1334181888, 37081, -1334181888
21.6498, 37081, -1334181888, 37081, -1334181888
21.6663, 37081, -1334181888, 37081, -1334181888
21.6762, 37081, -1334181888, 37081, -1334181888
21.7126, 37081, -1334181888, 37081, -1334181888
21.7402, 37081, -1334181888, 37081, -1334181888
21.7796, 37081, -1334181888, 37081, -1334181888
21.7908, 37081, -1334181888, 37081, -1334181888
21.8676, 37081, -1334181888, 37081, -1334181888
22.5922, 37081, -1334181888, 37081, -1334181888
22.6744, 37081, -1334181888, 37081, -1334181888
22.6858, 37081, -1334181888, 37081, -1334181888
22.7214, 37081, -1334181888, 37081, -1334181888
22.7504, 37081, -1334181888, 37081, -1334181888
22.7894, 37081, -1334181888, 37081, -1334181888
22.8005, 37081, -1334181888, 37081, -1334181888
22.8275, 37081, -1334181888, 37081, -1334181888
24.1190, 37081, -1334181888, 37081, -1334181888
24.1428, 37081, -1334181888, 37081, -1334181888
24.1549, 37081, -1334181888, 37081, -1334181888
24.1838, 37081, -1334181888, 37081, -1334181888
24.1913, 37081, -1334181888, 37081, -1334181888
24.2221, 37081, -1334181888, 37081, -1334181888
24.2663, 37081, -1334181888, 37081, -1334181888
24.2956, 37081, -1334181888, 37081, -1334181888
25.0535, 37081, -1334181888, 37081, -1334181888
25.1394, 37081, -1334181888, 37081, -1334181888
25.1512, 37081, -1334181888, 37081, -1334181888
25.1907, 37081, -1334181888, 37081, -1334181888
25.2477, 37081, -1334181888, 37081, -1334181888
25.2900, 37081, -1334181888, 37081, -1334181888
25.3011, 37081, -1334181888, 37081, -1334181888
25.3497, 37081, -1334181888, 37081, -1334181888
26.0531, 37081, -1334181888, 37081, -1334181888
26.1445, 37081, -1334181888, 37081, -1334181888
26.1559, 37081, -1334181888, 37081, -1334181888
26.1921, 37081, -1334181888, 37081, -1334181888
26.2175, 37081, -1334181888, 37081, -1334181888
26.2582, 37081, -1334181888, 37081, -1334181888
26.2695, 37081, -1334181888, 37081, -1334181888
26.2999, 37081, -1334181888, 37081, -1334181888
27.0179, 37081, -1334181888, 37081, -1334181888
